Hand,Rank,OrderedRank
Ks,Qs,1,1
Ks,Qh,1,1
Ks,Qd,1,1
Ks,Qc,1,1
Kh,Qs,1,1
Kh,Qh,1,1
Kh,Qd,1,1
Kh,Qc,1,1
Kd,Qs,1,1
Kd,Qh,1,1
Kd,Qd,1,1
Kd,Qc,1,1
Kc,Qs,1,1
Kc,Qh,1,1
Kc,Qd,1,1
Kc,Qc,1,1
Ks,Js,1,2
Ks,Jh,1,2
Ks,Jd,1,2
Ks,Jc,1,2
Kh,Js,1,2
Kh,Jh,1,2
Kh,Jd,1,2
Kh,Jc,1,2
Kd,Js,1,2
Kd,Jh,1,2
Kd,Jd,1,2
Kd,Jc,1,2
Kc,Js,1,2
Kc,Jh,1,2
Kc,Jd,1,2
Kc,Jc,1,2
Ks,7s,1,3
Ks,7h,1,3
Ks,7d,1,3
Ks,7c,1,3
Kh,7s,1,3
Kh,7h,1,3
Kh,7d,1,3
Kh,7c,1,3
Kd,7s,1,3
Kd,7h,1,3
Kd,7d,1,3
Kd,7c,1,3
Kc,7s,1,3
Kc,7h,1,3
Kc,7d,1,3
Kc,7c,1,3
Ks,6s,1,4
Ks,6h,1,4
Ks,6d,1,4
Ks,6c,1,4
Kh,6s,1,4
Kh,6h,1,4
Kh,6d,1,4
Kh,6c,1,4
Kd,6s,1,4
Kd,6h,1,4
Kd,6d,1,4
Kd,6c,1,4
Kc,6s,1,4
Kc,6h,1,4
Kc,6d,1,4
Kc,6c,1,4
Ks,5s,1,5
Ks,5h,1,5
Ks,5d,1,5
Ks,5c,1,5
Kh,5s,1,5
Kh,5h,1,5
Kh,5d,1,5
Kh,5c,1,5
Kd,5s,1,5
Kd,5h,1,5
Kd,5d,1,5
Kd,5c,1,5
Kc,5s,1,5
Kc,5h,1,5
Kc,5d,1,5
Kc,5c,1,5
Ks,4s,1,6
Ks,4h,1,6
Ks,4d,1,6
Ks,4c,1,6
Kh,4s,1,6
Kh,4h,1,6
Kh,4d,1,6
Kh,4c,1,6
Kd,4s,1,6
Kd,4h,1,6
Kd,4d,1,6
Kd,4c,1,6
Kc,4s,1,6
Kc,4h,1,6
Kc,4d,1,6
Kc,4c,1,6
Ks,3s,1,7
Ks,3h,1,7
Ks,3d,1,7
Ks,3c,1,7
Kh,3s,1,7
Kh,3h,1,7
Kh,3d,1,7
Kh,3c,1,7
Kd,3s,1,7
Kd,3h,1,7
Kd,3d,1,7
Kd,3c,1,7
Kc,3s,1,7
Kc,3h,1,7
Kc,3d,1,7
Kc,3c,1,7
Ks,2s,1,8
Ks,2h,1,8
Ks,2d,1,8
Ks,2c,1,8
Kh,2s,1,8
Kh,2h,1,8
Kh,2d,1,8
Kh,2c,1,8
Kd,2s,1,8
Kd,2h,1,8
Kd,2d,1,8
Kd,2c,1,8
Kc,2s,1,8
Kc,2h,1,8
Kc,2d,1,8
Kc,2c,1,8
Ks,As,1,9
Ks,Ah,1,9
Ks,Ad,1,9
Ks,Ac,1,9
Kh,As,1,9
Kh,Ah,1,9
Kh,Ad,1,9
Kh,Ac,1,9
Kd,As,1,9
Kd,Ah,1,9
Kd,Ad,1,9
Kd,Ac,1,9
Kc,As,1,9
Kc,Ah,1,9
Kc,Ad,1,9
Kc,Ac,1,9
Qs,Js,1,10
Qs,Jh,1,10
Qs,Jd,1,10
Qs,Jc,1,10
Qh,Js,1,10
Qh,Jh,1,10
Qh,Jd,1,10
Qh,Jc,1,10
Qd,Js,1,10
Qd,Jh,1,10
Qd,Jd,1,10
Qd,Jc,1,10
Qc,Js,1,10
Qc,Jh,1,10
Qc,Jd,1,10
Qc,Jc,1,10
Qs,7s,1,11
Qs,7h,1,11
Qs,7d,1,11
Qs,7c,1,11
Qh,7s,1,11
Qh,7h,1,11
Qh,7d,1,11
Qh,7c,1,11
Qd,7s,1,11
Qd,7h,1,11
Qd,7d,1,11
Qd,7c,1,11
Qc,7s,1,11
Qc,7h,1,11
Qc,7d,1,11
Qc,7c,1,11
Qs,6s,1,12
Qs,6h,1,12
Qs,6d,1,12
Qs,6c,1,12
Qh,6s,1,12
Qh,6h,1,12
Qh,6d,1,12
Qh,6c,1,12
Qd,6s,1,12
Qd,6h,1,12
Qd,6d,1,12
Qd,6c,1,12
Qc,6s,1,12
Qc,6h,1,12
Qc,6d,1,12
Qc,6c,1,12
Qs,5s,1,13
Qs,5h,1,13
Qs,5d,1,13
Qs,5c,1,13
Qh,5s,1,13
Qh,5h,1,13
Qh,5d,1,13
Qh,5c,1,13
Qd,5s,1,13
Qd,5h,1,13
Qd,5d,1,13
Qd,5c,1,13
Qc,5s,1,13
Qc,5h,1,13
Qc,5d,1,13
Qc,5c,1,13
Qs,4s,1,14
Qs,4h,1,14
Qs,4d,1,14
Qs,4c,1,14
Qh,4s,1,14
Qh,4h,1,14
Qh,4d,1,14
Qh,4c,1,14
Qd,4s,1,14
Qd,4h,1,14
Qd,4d,1,14
Qd,4c,1,14
Qc,4s,1,14
Qc,4h,1,14
Qc,4d,1,14
Qc,4c,1,14
Qs,3s,1,15
Qs,3h,1,15
Qs,3d,1,15
Qs,3c,1,15
Qh,3s,1,15
Qh,3h,1,15
Qh,3d,1,15
Qh,3c,1,15
Qd,3s,1,15
Qd,3h,1,15
