Hand,Rank,OrderedRank
3s,2s,1,1
3s,2h,1,1
3s,2d,1,1
3s,2c,1,1
3h,2s,1,1
3h,2h,1,1
3h,2d,1,1
3h,2c,1,1
3d,2s,1,1
3d,2h,1,1
3d,2d,1,1
3d,2c,1,1
3c,2s,1,1
3c,2h,1,1
3c,2d,1,1
3c,2c,1,1
4s,2s,1,2
4s,2h,1,2
4s,2d,1,2
4s,2c,1,2
4h,2s,1,2
4h,2h,1,2
4h,2d,1,2
4h,2c,1,2
4d,2s,1,2
4d,2h,1,2
4d,2d,1,2
4d,2c,1,2
4c,2s,1,2
4c,2h,1,2
4c,2d,1,2
4c,2c,1,2
4s,3s,1,3
4s,3h,1,3
4s,3d,1,3
4s,3c,1,3
4h,3s,1,3
4h,3h,1,3
4h,3d,1,3
4h,3c,1,3
4d,3s,1,3
4d,3h,1,3
4d,3d,1,3
4d,3c,1,3
4c,3s,1,3
4c,3h,1,3
4c,3d,1,3
4c,3c,1,3
5s,2s,1,4
5s,2h,1,4
5s,2d,1,4
5s,2c,1,4
5h,2s,1,4
5h,2h,1,4
5h,2d,1,4
5h,2c,1,4
5d,2s,1,4
5d,2h,1,4
5d,2d,1,4
5d,2c,1,4
5c,2s,1,4
5c,2h,1,4
5c,2d,1,4
5c,2c,1,4
5s,3s,1,5
5s,3h,1,5
5s,3d,1,5
5s,3c,1,5
5h,3s,1,5
5h,3h,1,5
5h,3d,1,5
5h,3c,1,5
5d,3s,1,5
5d,3h,1,5
5d,3d,1,5
5d,3c,1,5
5c,3s,1,5
5c,3h,1,5
5c,3d,1,5
5c,3c,1,5
5s,4s,1,6
5s,4h,1,6
5s,4d,1,6
5s,4c,1,6
5h,4s,1,6
5h,4h,1,6
5h,4d,1,6
5h,4c,1,6
5d,4s,1,6
5d,4h,1,6
5d,4d,1,6
5d,4c,1,6
5c,4s,1,6
5c,4h,1,6
5c,4d,1,6
5c,4c,1,6
6s,2s,1,7
6s,2h,1,7
6s,2d,1,7
6s,2c,1,7
6h,2s,1,7
6h,2h,1,7
6h,2d,1,7
6h,2c,1,7
6d,2s,1,7
6d,2h,1,7
6d,2d,1,7
6d,2c,1,7
6c,2s,1,7
6c,2h,1,7
6c,2d,1,7
6c,2c,1,7
6s,3s,1,8
6s,3h,1,8
6s,3d,1,8
6s,3c,1,8
6h,3s,1,8
6h,3h,1,8
6h,3d,1,8
6h,3c,1,8
6d,3s,1,8
6d,3h,1,8
6d,3d,1,8
6d,3c,1,8
6c,3s,1,8
6c,3h,1,8
6c,3d,1,8
6c,3c,1,8
6s,4s,1,9
6s,4h,1,9
6s,4d,1,9
6s,4c,1,9
6h,4s,1,9
6h,4h,1,9
6h,4d,1,9
6h,4c,1,9
6d,4s,1,9
6d,4h,1,9
6d,4d,1,9
6d,4c,1,9
6c,4s,1,9
6c,4h,1,9
6c,4d,1,9
6c,4c,1,9
6s,5s,1,10
6s,5h,1,10
6s,5d,1,10
6s,5c,1,10
6h,5s,1,10
6h,5h,1,10
6h,5d,1,10
6h,5c,1,10
6d,5s,1,10
6d,5h,1,10
6d,5d,1,10
6d,5c,1,10
6c,5s,1,10
6c,5h,1,10
6c,5d,1,10
6c,5c,1,10
7s,2s,1,11
7s,2h,1,11
7s,2d,1,11
7s,2c,1,11
7h,2s,1,11
7h,2h,1,11
7h,2d,1,11
7h,2c,1,11
7d,2s,1,11
7d,2h,1,11
7d,2d,1,11
7d,2c,1,11
7c,2s,1,11
7c,2h,1,11
7c,2d,1,11
7c,2c,1,11
7s,3s,1,12
7s,3h,1,12
7s,3d,1,12
7s,3c,1,12
7h,3s,1,12
7h,3h,1,12
7h,3d,1,12
7h,3c,1,12
7d,3s,1,12
7d,3h,1,12
7d,3d,1,12
7d,3c,1,12
7c,3s,1,12
7c,3h,1,12
7c,3d,1,12
7c,3c,1,12
7s,4s,1,13
7s,4h,1,13
7s,4d,1,13
7s,4c,1,13
7h,4s,1,13
7h,4h,1,13
7h,4d,1,13
7h,4c,1,13
7d,4s,1,13
7d,4h,1,13
7d,4d,1,13
7d,4c,1,13
7c,4s,1,13
7c,4h,1,13
7c,4d,1,13
7c,4c,1,13
7s,5s,1,14
7s,5h,1,14
7s,5d,1,14
7s,5c,1,14
7h,5s,1,14
7h,5h,1,14
7h,5d,1,14
7h,5c,1,14
7d,5s,1,14
7d,5h,1,14
7d,5d,1,14
7d,5c,1,14
7c,5s,1,14
7c,5h,1,14
7c,5d,1,14
7c,5c,1,14
7s,6s,1,15
7s,6h,1,15
7s,6d,1,15
7s,6c,1,15
7h,6s,1,15
7h,6h,1,15
7h,6d,1,15
7h,6c,1,15
7d,6s,1,15
7d,6h,1,15
7d,6d,1,15
7d,6c,1,15
7c,6s,1,15
7c,6h,1,15
7c,6d,1,15
7c,6c,1,15
8s,2s,1,16
8s,2h,1,16
8s,2d,1,16
8s,2c,1,16
8h,2s,1,16
8h,2h,1,16
8h,2d,1,16
8h,2c,1,16
8d,2s,1,16
8d,2h,1,16
8d,2d,1,16
8d,2c,1,16
8c,2s,1,16
8c,2h,1,16
8c,2d,1,16
8c,2c,1,16
8s,3s,1,17
8s,3h,1,17
8s,3d,1,17
8s,3c,1,17
8h,3s,1,17
8h,3h,1,17
8h,3d,1,17
8h,3c,1,17
8d,3s,1,17
8d,3h,1,17
8d,3d,1,17
8d,3c,1,17
8c,3s,1,17
8c,3h,1,17
8c,3d,1,17
8c,3c,1,17
8s,4s,1,18
8s,4h,1,18
8s,4d,1,18
8s,4c,1,18
8h,4s,1,18
8h,4h,1,18
8h,4d,1,18
8h,4c,1,18
8d,4s,1,18
8d,4h,1,18
8d,4d,1,18
8d,4c,1,18
8c,4s,1,18
8c,4h,1,18
8c,4d,1,18
8c,4c,1,18
8s,5s,1,19
8s,5h,1,19
8s,5d,1,19
8s,5c,1,19
8h,5s,1,19
8h,5h,1,19
8h,5d,1,19
8h,5c,1,19
8d,5s,1,19
8d,5h,1,19
8d,5d,1,19
8d,5c,1,19
